Sword_000;0,29;39,52;134,51
Sword_039;39,28;43,53;137,50
Sword_040;82,29;44,52;140,51
Sword_041;126,29;39,52;144,51
Sword_042;165,29;39,52;144,51
Sword_043;204,29;41,52;144,51
Sword_044;245,17;39,64;144,39
Sword_045;284,0;39,81;144,22
Sword_046;323,12;39,69;144,34
Sword_047;362,17;39,64;144,39
Sword_048;401,16;62,65;121,38
Sword_049;463,16;53,65;130,38
Sword_050;516,17;39,64;144,39
Sword_051;555,29;56,52;127,51
Sword_052;611,30;37,51;142,53
Sword_053;648,32;31,49;142,53
Sword_054;679,29;34,52;137,50
Sword_055;713,30;34,51;135,51
Sword_056;747,32;33,49;133,53
Sword_057;780,29;39,52;134,51
Sword_058;819,24;48,57;125,48
Sword_059;867,22;51,59;117,46
Sword_060;918,21;47,60;116,45
