Sword_000;0,17;39,52;134,51
Sword_001;39,20;47,49;136,56
Sword_002;86,15;61,54;126,50
Sword_003;147,19;60,50;133,53
Sword_004;207,19;43,50;150,53
Sword_005;250,18;52,51;164,52
Sword_006;302,19;47,50;173,52
Sword_007;349,19;59,50;163,51
Sword_008;408,17;43,52;170,50
Sword_009;451,17;43,52;170,50
Sword_010;494,19;51,50;161,52
Sword_011;545,1;97,68;133,36
Sword_012;642,3;75,66;132,36
Sword_013;717,2;75,67;127,35
Sword_014;792,0;63,69;122,33
Sword_015;855,3;53,66;124,37
Sword_016;908,5;53,64;119,39
Sword_017;961,17;66,52;98,52
Sword_018;1027,14;61,55;92,50
Sword_019;1088,13;69,56;84,50
Sword_020;0,103;61,54;86,52
Sword_021;61,105;55,52;92,52
Sword_022;116,107;59,50;87,54
Sword_023;175,105;66,52;81,52
Sword_024;241,92;61,65;87,39
Sword_025;302,75;51,82;97,22
Sword_026;353,69;51,88;97,16
Sword_027;404,71;67,86;79,18
Sword_028;471,109;51,48;95,56
Sword_028_under;522,143;21,14;83,77
Sword_029;543,105;47,52;102,52
Sword_030;590,103;49,54;102,50
Sword_031;639,108;50,49;102,55
Sword_032;689,93;83,64;83,40
Sword_033;772,90;63,67;106,37
Sword_034;835,91;53,66;120,38
Sword_035;888,112;47,45;128,59
Sword_036;935,107;44,50;131,54
Sword_037;979,109;63,48;83,56
Sword_038;1042,85;53,72;94,32
Sword_058;1095,100;48,57;125,48
Sword_059;1143,98;51,59;117,46
Sword_060;0,157;47,60;116,45
