Sword_000;0,36;36,34;128,70
Sword_001;36,34;31,36;132,68
Sword_002;67,27;28,43;135,61
Sword_003;95,29;26,41;136,63
Sword_004;121,29;26,41;136,63
Sword_005;147,21;28,49;135,55
Sword_006;175,23;28,47;135,57
Sword_007;203,37;28,33;135,70
Sword_008;231,39;27,31;135,72
Sword_009;258,39;29,31;132,72
Sword_010;287,40;62,30;99,73
Sword_011;349,42;49,28;92,76
Sword_011_under;398,67;6,3;86,85
Sword_012;404,43;48,27;92,77
Sword_012_under;452,67;6,3;86,85
Sword_013;458,43;48,27;92,77
Sword_013_under;506,67;6,3;86,85
Sword_014;512,42;47,28;92,76
Sword_014_under;559,67;6,3;86,84
Sword_015;565,41;46,29;92,75
Sword_015_under;611,67;6,3;86,84
Sword_016;617,37;33,33;102,71
Sword_017;650,36;28,34;106,70
Sword_018;678,36;28,34;104,70
Sword_019;706,37;28,33;104,71
Sword_020;734,39;28,31;104,73
Sword_021;762,30;24,40;113,64
Sword_022;786,30;24,40;126,64
Sword_023;810,37;37,33;128,71
Sword_024;847,36;36,34;128,70
Sword_025;883,36;37,34;127,70
Sword_026;920,44;43,26;127,78
Sword_027;963,44;48,26;127,78
Sword_028;1011,42;48,28;127,76
Sword_029;1059,43;47,27;128,77
Sword_030;1106,0;28,70;129,34
Sword_031;1134,30;31,40;125,31
Sword_032;1165,37;30,33;122,29
Sword_033;0,70;35,54;118,21
Sword_034;35,77;34,47;92,58
Sword_034_under;69,94;7,30;85,75
Sword_035;76,89;33,35;92,70
Sword_035_under;109,121;5,3;87,101
Sword_036;114,93;38,31;92,74
Sword_036_under;152,121;5,3;87,101
Sword_037;157,99;37,25;92,80
Sword_037_under;194,121;5,3;87,101
Sword_038;199,99;30,25;92,80
Sword_038_under;229,121;5,3;87,101
Sword_039;234,91;33,33;90,71
Sword_040;267,90;28,34;99,70
Sword_041;295,90;28,34;101,70
Sword_042;323,91;28,33;103,71
Sword_047;351,90;31,34;139,71
Sword_048;382,90;31,34;143,71
Sword_049;413,90;31,34;143,71
Sword_050;444,90;31,34;143,71
Sword_051;475,90;33,34;139,71
Sword_052;508,89;33,35;134,70
