Sword_000;0,27;48,64;128,44
Sword_001;48,26;46,65;129,44
Sword_002;94,32;48,59;129,49
Sword_003;142,28;52,63;133,49
Sword_004;194,29;76,62;119,55
Sword_005;270,36;82,55;114,61
Sword_006;352,38;82,53;114,61
Sword_007;434,43;82,48;114,62
Sword_008;516,43;82,48;114,62
Sword_009;598,43;82,48;114,62
Sword_010;680,11;54,80;116,32
Sword_011;734,0;36,91;118,21
Sword_012;770,9;89,82;61,27
Sword_013;859,45;81,46;69,63
Sword_014;940,44;81,47;69,63
Sword_015;1021,44;81,47;69,63
Sword_016;1102,45;81,46;69,64
Sword_017;0,127;81,46;69,64
Sword_018;81,127;81,46;69,64
Sword_019;162,122;67,51;85,61
Sword_020;229,118;62,55;108,61
Sword_021;291,118;60,55;108,61
Sword_022;351,121;55,52;108,62
Sword_023;406,122;53,51;111,61
Sword_024;459,123;53,50;116,61
Sword_025;512,111;62,62;116,44
Sword_026;574,97;46,76;129,30
Sword_027;620,99;46,74;130,34
Sword_028;666,110;48,63;128,45
Sword_029;714,99;47,74;130,34
Sword_030;761,91;67,82;112,25
Sword_031;828,110;85,63;94,44
Sword_032;913,116;84,57;95,50
Sword_033;997,118;66,55;113,52
Sword_034;1063,109;58,64;121,43
Sword_035;1121,93;58,80;121,27
Sword_036;0,213;40,51;135,61
Sword_037;40,209;54,55;120,61
Sword_038;94,210;85,54;114,62
Sword_039;179,194;83,70;114,44
Sword_040;262,195;66,69;114,42
Sword_041;328,216;58,48;114,62
Sword_042;386,208;57,56;114,62
Sword_043;443,206;67,58;114,62
Sword_044;510,215;85,49;114,62
Sword_045;595,197;83,67;114,44
Sword_046;678,195;66,69;114,42
Sword_047;744,215;58,49;114,62
Sword_048;802,215;86,49;114,62
Sword_049;888,215;86,49;114,62
Sword_050;974,178;62,86;114,26
Sword_051;1036,173;37,91;115,21
Sword_059;1073,193;41,71;134,32
Sword_060;1114,192;43,72;132,31
Sword_061;1157,194;41,70;134,33
