Sword_000;0,8;31,35;130,69
Sword_001;31,8;32,35;132,69
Sword_002;63,8;31,35;130,68
Sword_003;94,8;28,35;135,69
Sword_004;122,11;31,32;132,71
Sword_005;153,10;29,33;132,70
Sword_006;182,3;36,40;132,64
Sword_007;218,12;76,31;95,74
Sword_008;294,13;52,30;93,74
Sword_008_under;346,39;4,4;89,81
Sword_009;350,13;53,30;93,74
Sword_009_under;403,39;5,4;88,79
Sword_010;408,12;53,31;92,73
Sword_011;461,13;50,30;92,74
Sword_012;511,8;45,35;95,69
Sword_013;556,8;40,35;97,69
Sword_014;596,12;34,31;109,73
Sword_015;630,14;26,29;115,74
Sword_016;656,13;22,30;125,75
Sword_017;678,9;24,34;133,70
Sword_018;702,9;20,34;135,70
Sword_019;722,8;25,35;133,69
Sword_020;747,8;31,35;130,69
Sword_021;778,11;28,32;132,72
Sword_022;806,3;36,40;130,64
Sword_023;842,0;38,43;128,61
Sword_024;880,12;31,31;137,73
Sword_025;911,11;38,32;130,72
Sword_026;949,12;50,31;133,73
Sword_027;999,12;45,31;138,73
Sword_039;1044,13;56,30;89,74
Sword_040;1100,13;58,30;88,74
